,Symbol
0,ABB
1,ADANIPORTS
2,ALKEM
3,ALOKTEXT
4,AMARAJABAT
5,AMBUJACEM
6,APLLTD
7,ASHOKA
8,ASHOKLEY
9,ASIANPAINT
10,BAJFINANCE
11,BEL
12,BHEL
13,BIRLACORPN
14,BPCL
15,BRITANNIA
16,BRITANNIA-N3
17,CAMS
18,CANFINHOME
19,CCL
20,CHEMCON
21,COALINDIA
22,COLPAL
23,COROMANDEL
24,CROMPTON
25,DABUR
26,DECCANCE
27,DIVISLAB
28,DRREDDY
29,EICHERMOT
30,ENDURANCE
31,EQUITASBNK
32,ESCORTS
33,ESSELPACK
34,EXIDEIND
35,FINPIPE
36,FRETAIL
37,GAIL
38,GLAXO
39,GLENMARK
40,GMRINFRA
41,GOLDBEES-E
42,GRANULES
43,GREAVESCOT
44,GUJGASLTD
45,HAPPSTMNDS
46,HCG6
47,HDFC
48,HEIDELBERG
49,HEROMOTOCO
50,HINDUNILVR
51,IDEA
52,IGL
53,INDIGOPNTS
54,INFY
55,IOC
56,IRCTC
57,ISEC
58,ITC
59,JUNIORBEES
60,JYOTHYLAB
61,KPITTECH
62,LAOPALA
63,LIQUIDBEES-F
64,L&TFH
65,MANAPPURAM
66,MCDOWELL-N
67,M&M
68,M&MFIN
69,MON100-E
70,MOTHERSUMI
71,MUNJALSHOW
72,MUTHOOTFIN
73,NIDAN-SM
74,NIFTYBEES
75,PAYTM
76,PERSISTENT
77,PFIZER
78,PIDILITIND
79,POWERGRID
80,RALLIS
81,RAYMOND
82,RELAXO
83,RELIANCE
84,REPCOHOME
85,SANDHAR
86,SAPPHIRE
87,SBILIFE
88,SHRIRAMPPS
89,SUNDRMFAST
90,SUPREMEIND
91,TATACHEM
92,TATACONSUM
93,TATAELXSI
94,TATAMOTORS
95,TATAPOWER
96,TATASTEEL
97,TCS
98,TECHM
99,UBL
100,VGUARD
101,ZEEL
102,ZOMATO
